COXORB Performance Data   22:44  12/03/2026 

Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
04350,0:14:11.5,00440,031.6,022,01:38,05.09,09.64
04375,0:14:15.8,00443,031.9,017,01:30,05.53,10.10
04400,0:14:20.5,00445,031.9,015,01:30,05.56,10.39
04425,0:14:25.0,00447,031.5,021,01:32,05.44,10.42
04450,0:14:29.6,00450,032.0,018,01:34,05.33,10.02
04475,0:14:34.2,00452,031.4,016,01:33,05.38,10.21
04500,0:14:38.8,00455,031.5,019,01:30,05.57,10.47
04525,0:14:43.5,00457,031.6,018,01:32,05.43,10.38
04550,0:14:47.8,00459,031.4,018,01:30,05.53,10.47
04575,0:14:52.2,00462,031.4,022,01:28,05.65,10.68
04600,0:14:56.8,00464,031.7,024,01:31,05.47,10.46
04625,0:15:01.5,00467,031.9,019,01:31,05.48,10.25
04650,0:15:06.0,00469,031.5,016,01:32,05.41,10.40
04675,0:15:10.8,00471,031.3,022,01:35,05.24,10.09
04700,0:15:15.2,00474,031.6,020,01:31,05.48,10.29
04725,0:15:20.0,00476,031.5,018,01:33,05.37,10.23
04750,0:15:24.6,00479,031.0,018,01:33,05.36,10.34
04775,0:15:29.2,00481,031.0,015,01:34,05.30,10.24
04800,0:15:33.6,00483,030.8,017,01:29,05.60,10.68
04825,0:15:38.2,00486,031.0,019,01:30,05.53,10.71
04850,0:15:42.8,00488,031.3,018,01:32,05.43,10.45
04875,0:15:47.2,00490,031.1,019,01:31,05.49,10.50
04900,0:15:51.8,00493,031.2,016,01:30,05.54,10.54
04925,0:15:56.6,00495,031.3,017,01:35,05.28,10.33
04950,0:16:01.2,00498,030.9,018,01:34,05.32,10.27
04975,0:16:05.8,00500,030.9,018,01:34,05.33,10.42
05000,0:16:10.4,00502,030.9,018,01:31,05.51,10.48
05025,0:16:15.2,00505,031.2,015,01:35,05.26,10.19
05050,0:16:19.8,00507,031.2,019,01:36,05.22,10.13
05075,0:16:24.4,00510,030.8,019,01:30,05.54,10.57
05100,0:16:29.0,00512,030.9,014,01:32,05.45,10.58
05125,0:16:33.6,00514,030.9,010,01:32,05.42,10.50
05150,0:16:38.4,00517,030.7,019,01:36,05.19,10.15
05175,0:16:43.0,00519,031.1,021,01:34,05.34,10.25
05200,0:16:47.8,00522,030.9,015,01:34,05.31,10.29
05225,0:16:52.6,00524,030.8,015,01:36,05.23,10.18
05250,0:16:57.4,00527,030.6,018,01:36,05.20,10.25
05275,0:17:02.0,00529,030.8,018,01:35,05.28,10.22
05300,0:17:06.6,00531,030.2,015,01:33,05.36,10.54
05325,0:17:11.2,00534,030.6,015,01:33,05.39,10.51
05350,0:17:16.0,00536,030.7,020,01:34,05.31,10.46
05375,0:17:20.8,00539,031.0,022,01:36,05.21,10.18
05400,0:17:25.6,00541,030.7,021,01:37,05.18,10.13
05425,0:17:30.2,00543,030.5,021,01:36,05.21,10.20
05450,0:17:35.0,00546,030.9,016,01:35,05.24,10.21
05475,0:17:39.8,00548,030.6,014,01:34,05.31,10.29
05500,0:17:44.8,00551,030.4,016,01:38,05.12,10.18
05525,0:17:49.4,00553,030.5,014,01:38,05.12,09.97
05550,0:17:54.0,00556,030.8,016,01:33,05.36,10.33
05575,0:17:58.8,00558,030.9,018,01:36,05.21,10.18
05600,0:18:04.0,00561,030.8,016,01:40,05.01,09.82
05625,0:18:08.8,00563,030.8,014,01:39,05.06,09.80
05650,0:18:13.6,00566,030.7,014,01:39,05.07,09.89
05675,0:18:18.6,00568,030.4,015,01:38,05.09,10.00
05700,0:18:23.4,00571,030.2,019,01:37,05.15,10.16
05725,0:18:28.4,00573,030.3,019,01:37,05.14,10.04
05750,0:18:33.6,00576,030.5,013,01:42,04.89,09.76
05775,0:18:38.6,00578,030.4,014,01:42,04.91,09.63
05800,0:18:43.6,00581,030.3,019,01:42,04.89,09.69
05825,0:18:48.2,00583,030.7,016,01:37,05.17,09.78
05850,0:18:53.2,00586,030.0,014,01:37,05.17,10.31
05875,0:18:58.0,00588,030.3,015,01:37,05.17,10.16
05900,0:19:02.6,00591,030.4,013,01:35,05.28,10.31
05925,0:19:07.4,00593,030.4,014,01:33,05.37,10.52
05950,0:19:12.0,00595,030.4,019,01:34,05.32,10.46
05975,0:19:16.6,00598,030.8,021,01:31,05.47,10.60
06000,0:19:21.2,00600,030.4,021,01:33,05.36,10.59
06025,0:19:26.0,00602,030.6,019,01:35,05.24,10.32
06050,0:19:30.8,00605,030.7,017,01:34,05.32,10.37
06075,0:19:35.4,00607,030.7,018,01:38,05.12,10.11
06100,0:19:40.2,00610,030.7,018,01:36,05.23,10.09
06125,0:19:45.2,00612,030.9,017,01:36,05.22,10.20
06150,0:19:50.2,00615,030.6,017,01:39,05.04,09.87
06175,0:19:54.8,00617,030.8,015,01:36,05.22,09.96
06200,0:19:59.6,00620,030.8,014,01:35,05.27,10.21
06225,0:20:04.4,00622,030.7,018,01:37,05.13,10.06
06250,0:20:09.2,00625,031.0,018,01:36,05.19,09.99
06275,0:20:14.2,00627,031.1,016,01:38,05.12,09.89
06300,0:20:18.8,00630,031.0,017,01:35,05.29,10.03
06325,0:20:23.4,00632,031.5,016,01:33,05.36,10.08
06350,0:20:28.2,00634,031.2,016,01:33,05.35,10.31
06375,0:20:32.8,00637,031.6,015,01:34,05.32,10.13
06400,0:20:37.6,00639,031.7,015,01:36,05.23,09.91
06425,0:20:42.2,00642,031.7,019,01:33,05.36,09.97
06450,0:20:47.0,00644,031.6,018,01:33,05.37,10.24
06475,0:20:51.8,00647,031.3,016,01:36,05.22,10.03
06500,0:20:56.4,00649,031.5,019,01:34,05.34,10.09
06525,0:21:01.2,00652,031.6,020,01:35,05.26,10.02
06550,0:21:06.0,00654,031.0,021,01:36,05.21,10.09
06575,0:21:10.8,00657,031.7,019,01:37,05.17,09.74
06600,0:21:15.6,00659,031.4,015,01:36,05.23,09.90
06625,0:21:20.4,00662,031.8,016,01:36,05.19,09.85
06650,0:21:25.0,00664,031.4,017,01:35,05.29,09.99
06675,0:21:29.6,00667,031.5,021,01:32,05.45,10.30
06700,0:21:34.4,00669,031.7,017,01:33,05.38,10.15
06725,0:21:39.0,00672,031.2,018,01:35,05.24,10.13
06750,0:21:43.6,00674,031.4,019,01:32,05.41,10.13
06775,0:21:48.4,00677,031.1,016,01:34,05.32,10.25
06800,0:21:53.0,00679,031.3,017,01:34,05.31,10.17
06825,0:21:57.8,00682,031.8,016,01:36,05.22,09.81
06850,0:22:02.6,00684,032.8,017,01:38,05.11,09.45
06875,0:22:07.4,00687,032.5,018,01:35,05.24,09.57
06900,0:22:12.0,00689,032.7,015,01:33,05.37,09.73
06925,0:22:16.6,00692,032.6,015,01:33,05.37,09.79
06950,0:22:21.4,00694,032.6,016,01:33,05.37,09.89
06975,0:22:26.2,00697,032.6,017,01:36,05.22,09.67
07000,0:22:31.0,00699,031.4,012,01:35,05.24,10.26
