COXORB Performance Data   16:02  20/01/2023 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
03675,0:13:05.1,00402,030.8,028,01:44,04.81,09.30
03700,0:13:10.1,00405,030.6,027,01:44,04.82,09.39
03725,0:13:15.3,00408,031.2,027,01:45,04.76,09.16
03750,0:13:20.5,00410,031.1,028,01:43,04.84,09.29
03775,0:13:25.7,00413,031.1,029,01:42,04.89,09.42
03800,0:13:30.7,00416,030.7,029,01:43,04.86,09.45
03825,0:13:35.9,00418,030.8,028,01:43,04.86,09.42
03850,0:13:41.1,00421,030.7,029,01:44,04.81,09.40
03875,0:13:46.1,00424,030.9,030,01:42,04.88,09.37
03900,0:13:51.3,00426,030.6,030,01:43,04.87,09.53
03925,0:13:56.5,00429,030.9,029,01:43,04.85,09.43
03950,0:14:01.7,00432,031.0,029,01:46,04.72,09.14
03975,0:14:07.1,00434,031.2,028,01:46,04.70,09.01
04000,0:14:12.3,00437,030.8,029,01:45,04.78,09.17
04025,0:14:17.5,00440,030.7,030,01:47,04.68,09.13
04050,0:14:23.1,00443,031.2,029,01:48,04.62,08.92
04075,0:14:28.5,00445,030.9,029,01:48,04.62,08.93
04100,0:14:33.9,00448,031.2,028,01:50,04.56,08.80
04125,0:14:39.1,00451,031.1,029,01:46,04.72,09.05
04150,0:14:44.7,00454,031.1,029,01:50,04.56,08.87
04175,0:14:50.1,00457,030.7,027,01:50,04.56,08.83
04200,0:14:55.5,00459,030.7,028,01:48,04.61,08.95
04225,0:15:00.7,00462,030.9,028,01:45,04.78,09.12
04250,0:15:05.9,00465,031.0,029,01:44,04.82,09.29
04275,0:15:10.9,00467,030.6,031,01:43,04.86,09.45
04300,0:15:16.1,00470,030.8,029,01:43,04.85,09.45
04325,0:15:21.1,00473,030.3,030,01:42,04.89,09.62
04350,0:15:26.3,00475,030.4,028,01:42,04.90,09.61
04375,0:15:31.3,00478,031.1,027,01:40,05.01,09.54
04400,0:15:36.3,00480,031.2,029,01:40,05.00,09.63
04425,0:15:41.3,00483,031.0,029,01:41,04.96,09.60
04450,0:15:46.3,00486,030.6,029,01:41,04.96,09.71
04475,0:15:51.3,00488,030.9,028,01:40,04.98,09.60
04500,0:15:56.3,00491,030.9,028,01:40,05.00,09.65
04525,0:16:01.3,00493,030.7,030,01:41,04.94,09.69
04550,0:16:06.3,00496,030.8,030,01:40,04.99,09.72
04575,0:16:11.0,00498,030.5,029,01:38,05.11,09.89
04600,0:16:16.1,00501,030.7,029,01:37,05.14,10.01
04625,0:16:20.9,00503,030.7,029,01:39,05.06,09.87
04650,0:16:26.1,00506,030.6,029,01:40,05.01,09.86
04675,0:16:31.0,00509,030.1,029,01:41,04.94,09.87
04700,0:16:36.0,00511,030.8,028,01:41,04.95,09.61
04725,0:16:41.1,00514,030.4,028,01:40,04.98,09.74
04750,0:16:46.0,00516,030.9,028,01:39,05.05,09.73
04775,0:16:50.8,00519,030.7,029,01:37,05.13,09.89
04800,0:16:55.7,00521,031.2,029,01:36,05.19,09.89
04825,0:17:00.4,00524,030.8,029,01:37,05.15,10.00
04850,0:17:05.2,00526,030.8,029,01:37,05.17,09.99
04875,0:17:10.2,00529,030.8,030,01:40,05.02,09.83
04900,0:17:15.2,00531,031.1,030,01:38,05.08,09.68
04925,0:17:20.0,00534,031.0,029,01:38,05.12,09.86
04950,0:17:25.1,00537,030.9,030,01:39,05.06,09.74
04975,0:17:30.0,00539,031.1,030,01:41,04.96,09.65
05000,0:17:35.2,00542,031.0,030,01:42,04.89,09.42
05025,0:17:40.3,00544,030.9,030,01:42,04.91,09.52
05050,0:17:45.0,00547,030.8,028,01:39,05.04,09.71
05075,0:17:50.2,00550,031.2,027,01:41,04.94,09.53
05100,0:17:55.2,00552,031.0,028,01:42,04.90,09.51
05125,0:18:00.2,00555,031.1,030,01:42,04.92,09.55
05150,0:18:05.2,00557,030.7,028,01:41,04.94,09.61
05175,0:18:10.4,00560,030.5,029,01:41,04.93,09.73
05200,0:18:15.2,00562,030.7,030,01:40,05.00,09.68
